Avgang;Til;Rutenr;Flyselskap;Gate;Status;
06:00;Bergen;WF162;Widerøe;A27;Avreist 07:30;
06:00;Frankfurt;LH865;Lufthansa;D11;Avreist 06:05;
06:00;Sogndal;WF162;Widerøe;A27;Avreist 07:30;
06:05;Paris Charles de Gaulle;AF1275;Air France;D8;Avreist 06:11;
06:05;København;SK1461;SAS;E15;Avreist 06:02;
06:15;München;LH2457;Lufthansa;REM;Innstilt;
06:30;Amsterdam;KL1140;KLM;D9;Avreist 06:22;
06:30;Wien;OS332;Austrian Airlines;D4;Avreist 06:29;
06:40;Brussel;SN2288;Brussels Airlines;D5;Avreist 06:49;
06:45;Stockholm;DY802;Norwegian;D10;Avreist 06:44;
06:55;Stockholm;SK844;SAS;D3;Avreist 06:57;
06:55;Stavanger;DY522;Norwegian;A15;Avreist 06:49;
06:55;Trondheim;DY740;Norwegian;C2;Avreist 06:56;
06:55;Trondheim;SK330;SAS;A23;Avreist 07:58;
07:00;Stavanger;SK4007;SAS;A14;Avreist 07:01;
07:05;Bergen;SK249;SAS;A6;Avreist 07:12;
07:05;Bergen;DY602;Norwegian;C7;Avreist 07:03;
07:10;København;SK1463;SAS;E2;Avreist 07:12;
07:15;Beograd;DY1976;Norwegian;F13;Avreist 07:08;
07:15;København;NVR147;Novair;E9;Avreist 07:12;
07:15;London Gatwick;DY1302;Norwegian;F12;Avreist 07:10;
07:25;London Heathrow;BA761;British Airways;F19;Avreist 07:19;
07:30;København;DY932;Norwegian;D6;Avreist 07:32;
07:35;Stockholm;DY804;Norwegian;D1;Avreist 07:34;
07:35;Stavanger;SK4009;SAS;B6;Avreist 07:34;
07:40;Ålesund;DY402;Norwegian;A21;Avreist 07:36;
07:40;Stockholm;SK482;SAS;D11;Avreist 07:48;
07:40;Kristiansand;SK205;SAS;A4;Avreist 07:47;
07:40;Berlin Schönefeld;DY1102;Norwegian;E8;Avreist 07:37;
07:45;London Heathrow;SK803;SAS;F15;Avreist 08:05;
07:55;København;SK451;SAS;E11;Avreist 08:26;
07:55;Førde;WF187;Widerøe;A24;Avreist 08:20;
07:55;Florø;WF124;Widerøe;A25;Avreist 07:55;
07:55;Kristiansund;SK2301;SAS;B3;Avreist 07:53;
08:00;Bergen;DY604;Norwegian;A15;Avreist 07:57;
08:00;Bergen;SK251;SAS;B5;Avreist 08:06;
08:00;Ørsta/Volda;WF173;Widerøe;B8;Avreist 08:02;
08:00;Stavanger;DY524;Norwegian;A10;Avreist 07:52;
08:00;Tromsø;SK4406;SAS;C4;Avreist 08:08;
08:00;Trondheim;DY742;Norwegian;A14;Avreist 08:02;
08:05;Amsterdam;SK821;SAS;D9;Avreist 10:06;
08:05;Molde;SK4516;SAS;A8;Avreist 08:08;
08:05;Trondheim;SK332;SAS;A19;Avreist 08:08;
08:10;Århus;SK1925;SAS;E13;Avreist 08:09;
08:10;Vilnius;FR1502;Ryanair;E9;Avreist 08:33;
08:15;Ålesund;SK1314;SAS;B4;Avreist 08:29;
08:15;Brussel;SK4743;SAS;D7;Avreist 08:16;
08:15;Haugesund;SK308;SAS;A12;Avreist 08:13;
08:15;Ørland;LPA11;Air Leap;A26;Avreist 10:36;
08:20;Haugesund;DY182;Norwegian;A21;Avreist 08:14;
08:20;Molde;DY422;Norwegian;C2;Avreist 08:12;
08:20;Sandane;WF145;Widerøe;A27;Avreist 08:45;
08:20;Sogndal;WF145;Widerøe;A27;Avreist 08:45;
08:25;Göteborg;WF326;Widerøe;E6;Avreist 08:25;
08:25;Stavanger;SK4011;SAS;A2;Avreist 08:52;
08:30;Stockholm;DY4104;Norwegian;D11;Avreist 09:08;
08:30;Bodø;DY340;Norwegian;B1;Avreist 08:35;
08:30;Kristiansand;DY270;Norwegian;A6;Avreist 08:23;
08:30;Stord;DX542;Danish Air Transport;A22;Avreist 08:35;
08:30;Tromsø;DY370;Norwegian;A20;Avreist 09:00;
08:35;Bodø;SK4104;SAS;B7;Avreist 09:32;
08:35;Harstad/Narvik;SK4082;SAS;A10;Avreist 08:50;
08:40;Stockholm;SK480;SAS;E8;Avreist 09:26;
08:40;Billund;SK1901;SAS;E5;Avreist 09:02;
08:40;Paris Charles de Gaulle;DY1494;Norwegian;D8;Avreist 08:38;
08:45;Aberdeen;SK4613;SAS;F26;Avreist 08:51;
08:45;Düsseldorf;SK816;SAS;D3;Avreist 09:42;
08:45;Riga;BT152;Air Baltic;E7;Avreist 09:08;
08:50;Helsinki;AY912;Finnair;E6;Avreist 09:33;
08:50;Kirkenes;SK4472;SAS;C6;Avreist 09:14;
08:55;Bergen;DY606;Norwegian;A8;Avreist 09:14;
08:55;Harstad/Narvik;DY360;Norwegian;A4;Avreist 09:03;
08:55;Frankfurt;SK4755;SAS;D1;Avreist 09:15;
08:55;Trondheim;DY744;Norwegian;B2;Avreist 09:46;
09:00;Barcelona;DY1740;Norwegian;E2;Avreist 09:07;
09:00;Bardufoss;DY330;Norwegian;A21;Avreist 09:34;
09:00;København;D83222;Norwegian Air International;D10;Avreist 09:10;
09:00;Stavanger;DY526;Norwegian;A19;Avreist 09:00;
09:00;Trondheim;SK336;SAS;A15;Avreist 09:29;
09:05;Stavanger;SK4015;SAS;A14;Avreist 09:09;
09:05;Tromsø;SK4422;SAS;A12;Avreist 09:22;
09:10;Kirkenes;DY310;Norwegian;B3;Avreist 09:14;
09:15;Bergen;SK255;SAS;A6;Avreist 09:34;
09:15;København;SK455;SAS;E15;Avreist 09:39;
09:20;Amsterdam;KL1142;KLM;E9;Avreist 09:25;
09:20;Kristiansand;SK211;SAS;A10;Avreist 09:40;
09:25;Stockholm;SK864;SAS;D10;Avreist 10:15;
09:25;Gran Canaria;SK4697;SAS;D2;Avreist 09:46;
09:30;Alta;DY320;Norwegian;A2;Avreist 09:37;
09:30;Miami;SK955;SAS;F18;Avreist 10:03;
09:30;Praha;DY1502;Norwegian;D5;Avreist 09:31;
09:30;Wien;DY1632;Norwegian;D4;Avreist 09:42;
09:30;Warszawa;D8342;Norwegian Air International;E13;Avreist 09:30;
09:45;Frankfurt;LH859;Lufthansa;D8;Avreist 09:52;
09:50;Longyearbyen;DY396;Norwegian;F19;Avreist 09:53;
09:50;Berlin Tegel;EZY5778;easyJet;E8;Avreist 09:58;
